tag_id,loc,first_obs,last_obs,n,week
5240,LLRTP,2018-10-31T22:45:00Z,2018-10-31T22:45:00Z,1,NA
5240,LH,2018-11-21T02:28:01Z,2018-11-21T03:57:41Z,451,12
5240,LH,2019-02-01T02:54:37Z,2019-02-01T02:57:01Z,3,22
5245,LLRTP,2018-10-30T23:00:00Z,2018-10-30T23:00:00Z,1,NA
5255,LLRTP,2018-10-31T22:45:00Z,2018-10-31T22:45:00Z,1,NA
5255,LH,2018-11-08T22:41:24Z,2018-11-08T22:44:44Z,17,10
5255,TR,2018-11-09T06:03:11Z,2018-11-09T06:38:31Z,197,10
5255,RR,2018-11-10T03:14:40Z,2018-11-10T03:19:30Z,24,11
5255,NF,2018-11-10T20:39:11Z,2018-11-10T20:43:41Z,21,11
5260,LLRTP,2018-10-30T23:00:00Z,2018-10-30T23:00:00Z,1,NA
5260,LH,2018-11-20T22:11:58Z,2018-11-20T22:14:08Z,13,12
5260,CA,2018-11-28T17:12:58Z,2018-11-28T17:13:48Z,3,13
5260,TR,2018-11-28T19:08:07Z,2018-11-28T19:18:07Z,39,13
5260,RR,2018-11-28T20:24:57Z,2018-11-28T20:28:47Z,23,13
5265,LLRTP,2018-10-24T00:00:00Z,2018-10-24T00:00:00Z,1,NA
5265,LH,2018-10-25T13:14:39Z,2018-10-28T08:33:19Z,1944,8
5270,LLRTP,2018-10-24T00:00:00Z,2018-10-24T00:00:00Z,1,NA
5270,LH,2018-11-18T01:23:36Z,2018-11-18T01:27:26Z,20,12
5275,LLRTP,2018-10-31T22:45:00Z,2018-10-31T22:45:00Z,1,NA
5275,LH,2018-11-03T21:09:31Z,2018-11-03T21:12:01Z,9,10
5275,CA,2018-11-03T22:18:40Z,2018-11-03T22:20:30Z,10,10
5275,TR,2018-11-04T00:07:48Z,2018-11-04T00:17:18Z,41,10
5275,RR,2018-11-04T01:10:37Z,2018-11-04T01:14:47Z,22,10
