tag_id,cap_hist,LLRTP,LH,CA,TR,RR,NF
5240,110000,1,1,0,0,0,0
5245,100000,1,0,0,0,0,0
5255,110111,1,1,0,1,1,1
5260,111110,1,1,1,1,1,0
5265,110000,1,1,0,0,0,0
5270,110000,1,1,0,0,0,0
5275,111110,1,1,1,1,1,0
5280,100111,1,0,0,1,1,1
5285,111111,1,1,1,1,1,1
5290,111111,1,1,1,1,1,1
5295,111110,1,1,1,1,1,0
5300,100000,1,0,0,0,0,0
5305,111111,1,1,1,1,1,1
5310,100001,1,0,0,0,0,1
5315,100000,1,0,0,0,0,0
5325,101111,1,0,1,1,1,1
5330,111111,1,1,1,1,1,1
5335,100000,1,0,0,0,0,0
5345,100000,1,0,0,0,0,0
5350,100000,1,0,0,0,0,0
5355,100000,1,0,0,0,0,0
5365,100000,1,0,0,0,0,0
5370,100000,1,0,0,0,0,0
5375,100000,1,0,0,0,0,0
5380,100000,1,0,0,0,0,0
5385,100000,1,0,0,0,0,0
5390,100000,1,0,0,0,0,0
5395,100000,1,0,0,0,0,0
5405,100000,1,0,0,0,0,0
5410,100000,1,0,0,0,0,0
5415,110000,1,1,0,0,0,0
5420,100000,1,0,0,0,0,0
