season,radio_tag_id,pit_tag_id,tag_id,srr,length,weight,tag_purpose,release_site,duty_cycle,activation_time,release_time,notes
18_19,2240B,3DD.0077707E73,2240,11W,121,19.899999999999999,fish,LLRTP,batch_1,2018-10-22T22:48:06Z,2018-10-31T00:30:00Z,"NA"
18_19,2245B,3DD.00776F999E,2245,11W,112,14.2,fish,LLRTP,batch_1,2018-10-31T15:07:35Z,2018-10-31T23:45:00Z,"NA"
18_19,2250B,3DD.00776EA758,2250,11W,115,14.1,fish,LLRTP,batch_1,2018-10-22T22:44:37Z,2018-10-31T00:30:00Z,"NA"
18_19,2255B,3DD.00776E9D9D,2255,11W,118,15.6,fish,LLRTP,batch_1,2018-10-31T14:56:25Z,2018-10-31T23:45:00Z,"NA"
18_19,2260B,3DD.00776EDE86,2260,11W,123,17.100000000000001,fish,LLRTP,batch_1,2018-10-22T22:43:43Z,2018-10-31T00:30:00Z,"NA"
18_19,2265B,3DD.00776F7B8D,2265,11W,113,14.4,fish,LLRTP,batch_1,2018-10-31T15:00:13Z,2018-10-31T23:45:00Z,"NA"
18_19,2270B,3DD.00776F99A9,2270,11W,111,14.5,fish,LLRTP,batch_1,2018-10-22T22:41:50Z,2018-10-31T23:45:00Z,"NA"
18_19,2275B,3DD.00776FD341,2275,11W,117,16.8,fish,LLRTP,batch_1,2018-10-22T22:52:09Z,2018-10-24T01:00:00Z,"NA"
18_19,2280B,3DD.00776FCA1C,2280,11W,112,14.5,fish,LLRTP,batch_1,2018-10-31T14:59:45Z,2018-10-31T23:45:00Z,"NA"
18_19,2285B,3DD.0077703DBF,2285,11W,114,13.7,fish,LLRTP,batch_1,2018-10-31T15:01:31Z,2018-10-31T23:45:00Z,"NA"
18_19,2290B,3DD.00776F3FB2,2290,11W,108,12.8,fish,LLRTP,batch_1,2018-10-22T22:39:40Z,2018-10-29T00:00:00Z,"NA"
18_19,2295B,3DD.00776F7D87,2295,11W,112,14.6,fish,LLRTP,batch_1,2018-10-31T15:04:49Z,2018-10-31T23:45:00Z,"NA"
18_19,2300B,3DD.00776F624F,2300,11W,130,17.5,fish,LLRTP,batch_1,2018-10-22T22:42:21Z,2018-10-31T00:30:00Z,"NA"
18_19,2305B,3DD.00776F2590,2305,11W,114,14.9,fish,LLRTP,batch_1,2018-10-22T22:34:20Z,2018-10-29T00:00:00Z,"NA"
18_19,2310B,3DD.00776F6D9F,2310,11W,113,14.7,fish,PAHTRP,batch_1,2018-10-22T22:37:30Z,2018-10-29T23:45:00Z,"NA"
18_19,2320B,3DD.00776EB5FE,2320,11W,120,16.399999999999999,fish,LLRTP,batch_2,2018-10-22T12:57:03Z,2018-10-31T00:30:00Z,"NA"
18_19,2325B,3DD.007770992F,2325,11W,115,13.9,fish,LLRTP,batch_2,2018-10-22T12:39:58Z,2018-10-29T00:00:00Z,"NA"
18_19,2330B,3DD.0077703E2F,2330,11W,120,17.5,fish,LLRTP,batch_2,2018-10-22T12:57:19Z,2018-10-31T00:30:00Z,"NA"
18_19,2335B,3DD.00776FA47A,2335,11W,127,19.5,fish,LLRTP,batch_2,2018-10-22T12:45:37Z,2018-10-24T01:00:00Z,"NA"
18_19,2340B,3DD.0077709CC4,2340,11W,108,11.9,fish,LLRTP,batch_2,2018-10-22T12:58:14Z,2018-10-31T23:45:00Z,"NA"
18_19,2345B,3DD.00776EC106,2345,11W,109,13.5,fish,LLRTP,batch_2,2018-10-22T13:01:59Z,2018-10-31T00:30:00Z,"NA"
18_19,2350B,3DD.0077708EC3,2350,11W,112,15.5,fish,LLRTP,batch_2,2018-10-22T12:46:04Z,2018-10-24T01:00:00Z,"NA"
18_19,2355B,3DD.00776EB419,2355,11W,117,15.9,fish,LLRTP,batch_2,2018-10-22T12:55:07Z,2018-10-31T23:45:00Z,"NA"
18_19,2360B,3DD.00776F90B1,2360,11W,118,15.7,fish,LLRTP,batch_2,2018-10-22T12:43:00Z,2018-10-31T00:30:00Z,"NA"
18_19,2365B,3DD.00776F68AE,2365,11W,117,17.3,fish,LLRTP,batch_2,2018-10-22T12:39:12Z,2018-10-31T00:30:00Z,"NA"
18_19,2375B,3DD.0077701520,2375,11W,119,17.8,fish,LLRTP,batch_3,2018-10-21T22:54:58Z,2018-10-23T01:00:00Z,"NA"
18_19,2380B,3DD.00776F618B,2380,11W,124,22.5,fish,LLRTP,batch_3,2018-10-21T22:54:30Z,2018-10-23T01:00:00Z,"NA"
18_19,2385B,3DD.00776F3933,2385,11W,114,14.8,fish,LLRTP,batch_3,2018-10-21T22:59:25Z,2018-10-23T01:00:00Z,"NA"
18_19,2390B,3DD.00776ECBA7,2390,11W,116,17.100000000000001,fish,LLRTP,batch_3,2018-10-21T23:23:03Z,2018-10-23T01:00:00Z,"NA"
