season,radio_tag_id,pit_tag_id,tag_id,srr,length,weight,tag_purpose,release_site,duty_cycle,activation_time,release_time,notes
17_18,1265A,3DD.0077585571,1265,11W,"NA","NA",fish,LLRTP,batch_1,2017-10-16T18:37:00Z,2017-10-19T12:39:00Z,"NA"
17_18,1280A,3DD.0077594D2D,1280,11W,121,22,fish,LLRTP,batch_1,2017-10-10T21:13:00Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,1340A,3DD.0077588CBF,1340,11W,"NA","NA",fish,LLRTP,batch_1,2017-10-16T18:50:00Z,2017-10-19T12:21:00Z,"NA"
17_18,1355A,3DD.007759817F,1355,11W,110,15.6,fish,LLRTP,batch_1,2017-10-10T21:31:43Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,1370A,3DD.007758923F,1370,11W,120,19,fish,LLRTP,batch_1,2017-10-30T20:10:00Z,2017-11-03T12:30:00Z,Release Time Estimated
17_18,1385A,3DD.00775A1287,1385,11W,114,19.2,fish,LLRTP,batch_1,2017-10-10T20:49:02Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,1400A,3DD.007758E018,1400,11W,"NA","NA",fish,LLRTP,on_off,2017-10-16T18:26:00Z,2017-10-19T13:01:00Z,"NA"
17_18,1415A,3DD.007757FFD7,1415,11W,113,15.1,fish,LLRTP,on_off,2017-10-30T21:02:00Z,2017-11-03T12:30:00Z,Release Time Estimated
17_18,1430A,3DD.00775807F4,1430,11W,120,20.100000000000001,fish,LLRTP,on_off,2017-10-30T21:01:00Z,2017-11-03T12:30:00Z,Release Time Estimated
17_18,1445A,3DD.007759B700,1445,11W,119,19.399999999999999,fish,LLRTP,on_off,2017-10-10T21:02:35Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,2260A,3DD.0077587457,2260,11W,115,19.100000000000001,fish,LLRTP,batch_1,2017-10-10T20:47:13Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,2290A,"NA",2290,11W,"NA","NA",fish,LLRTP,batch_1,2017-10-16T18:51:00Z,2017-10-19T13:00:00Z,Release Time Estimated
17_18,2305A,3DD.0077599CAD,2305,11W,105,12.6,fish,LLRTP,batch_1,2017-10-10T20:45:59Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,2335A,3DD.007759E33C,2335,11W,121,19.5,fish,LLRTP,batch_1,2017-10-30T20:48:00Z,2017-11-03T12:30:00Z,Release Time Estimated
17_18,2350A,3DD.007759853B,2350,11W,126,21.9,fish,LLRTP,batch_1,2017-10-30T20:17:00Z,2017-11-03T12:30:00Z,Release Time Estimated
17_18,2365A,"NA",2365,11W,"NA","NA",fish,LLRTP,batch_1,2017-10-16T18:38:00Z,2017-10-19T13:00:00Z,Release Time Estimated
17_18,2380A,3DD.0077590408,2380,11W,113,17.899999999999999,fish,LLRTP,batch_1,2017-10-10T20:44:36Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,2395A,3DD.00775A7387,2395,11W,"NA","NA",fish,LLRTP,on_off,2017-10-16T18:26:00Z,2017-10-19T12:59:00Z,"NA"
17_18,2410A,3DD.007759AA9A,2410,11W,118,21.1,fish,LLRTP,on_off,2017-10-10T21:03:52Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,3255A,3DD.0077590420,3255,11W,117,15.3,fish,LLRTP,batch_1,2017-10-30T20:20:00Z,2017-11-03T12:30:00Z,Release Time Estimated
17_18,3270A,"NA",3270,11W,"NA","NA",fish,LLRTP,batch_1,2017-10-16T19:07:00Z,2017-10-19T13:00:00Z,Release Time Estimated
17_18,3285A,3DD.0077592539,3285,11W,115,16.600000000000001,fish,LLRTP,batch_1,2017-10-10T20:54:22Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,3315A,3DD.0077597FBB,3315,11W,111,16.3,fish,LLRTP,batch_1,2017-10-10T21:13:00Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,3330A,3DD.00775894FF,3330,11W,"NA","NA",fish,LLRTP,batch_1,2017-10-16T18:39:00Z,2017-10-19T12:32:00Z,"NA"
17_18,3345A,"NA",3345,11W,"NA","NA",fish,LLRTP,batch_1,2017-10-16T18:52:00Z,2017-10-19T13:00:00Z,Release Time Estimated
17_18,3360A,3DD.0077589352,3360,11W,118,19.100000000000001,fish,LLRTP,batch_1,2017-10-30T20:21:00Z,2017-11-03T12:30:00Z,Release Time Estimated
17_18,3375A,3DD.007759B79C,3375,11W,115,19.5,fish,LLRTP,batch_1,2017-10-10T20:52:42Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,3405A,3DD.007758E22E,3405,11W,112,16.7,fish,LLRTP,on_off,2017-10-10T21:09:11Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,3420A,"NA",3420,"NA","NA","NA",fish,LLRTP,on_off,2017-10-16T18:27:00Z,2017-10-19T13:00:00Z,Release Time Estimated
17_18,4265A,"NA",4265,11W,"NA","NA",fish,LLRTP,batch_1,2017-10-16T19:05:00Z,2017-10-19T13:00:00Z,Release Time Estimated
17_18,4280A,"NA",4280,11W,"NA","NA",fish,LLRTP,batch_1,2017-10-16T18:40:00Z,2017-10-19T13:00:00Z,Release Time Estimated
17_18,4295A,3DD.0077584725,4295,11W,121,21.5,fish,LLRTP,batch_1,2017-10-30T20:50:00Z,2017-11-03T12:30:00Z,Release Time Estimated
17_18,4310A,3DD.00775A194B,4310,11W,112,15.9,fish,LLRTP,batch_1,2017-10-30T20:27:00Z,2017-11-03T12:30:00Z,Release Time Estimated
17_18,4325A,3DD.0077583E40,4325,11W,116,19,fish,LLRTP,batch_1,2017-10-10T20:56:39Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,4355A,3DD.007759F91A,4355,11W,116,18.2,fish,LLRTP,batch_1,2017-10-10T21:01:16Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,4370A,3DD.00775A4055,4370,11W,107,14,fish,LLRTP,batch_1,2017-10-10T20:54:48Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,4385A,"NA",4385,11W,"NA","NA",fish,LLRTP,batch_1,2017-10-16T18:57:00Z,2017-10-19T13:00:00Z,Release Time Estimated
17_18,4400A,3DD.00775973A0,4400,11W,115,15.9,fish,LLRTP,on_off,2017-10-30T20:25:00Z,2017-11-03T12:30:00Z,Release Time Estimated
17_18,4415A,3DD.00775915CD,4415,11W,113,16.100000000000001,fish,LLRTP,on_off,2017-10-30T20:23:00Z,2017-11-03T12:30:00Z,Release Time Estimated
17_18,4430A,3DD.007759ACE2,4430,11W,108,14.7,fish,LLRTP,on_off,2017-10-10T21:41:35Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,5260A,"NA",5260,11W,"NA","NA",fish,LLRTP,batch_1,2017-10-16T18:42:00Z,2017-10-19T13:00:00Z,Release Time Estimated
17_18,5275A,3DD.00775A3CC7,5275,11W,105,14.1,fish,LLRTP,batch_1,2017-10-10T20:55:39Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,5290A,3DD.0077594180,5290,11W,110,16,fish,LLRTP,batch_1,2017-10-10T20:55:13Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,5320A,"NA",5320,11W,"NA","NA",fish,LLRTP,batch_1,2017-10-16T18:58:00Z,2017-10-19T13:00:00Z,Release Time Estimated
17_18,5335A,"NA",5335,11W,"NA","NA",fish,LLRTP,batch_1,2017-10-16T19:04:00Z,2017-10-19T13:00:00Z,Release Time Estimated
17_18,5350A,3DD.007758D532,5350,11W,115,18.2,fish,LLRTP,batch_1,2017-10-30T20:54:00Z,2017-11-03T12:30:00Z,Release Time Estimated
17_18,5365A,3DD.007758092C,5365,11W,110,15.5,fish,LLRTP,batch_1,2017-10-10T20:56:06Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,5395A,3DD.007756948D,5395,11W,113,18,fish,LLRTP,on_off,2017-10-10T21:34:34Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,5410A,3DD.007758BA44,5410,11W,114,18.600000000000001,fish,LLRTP,on_off,2017-10-30T20:28:00Z,2017-11-03T12:30:00Z,Release Time Estimated
17_18,5425A,3DD.007759A6EA,5425,11W,"NA","NA",fish,LLRTP,on_off,2017-10-16T18:28:00Z,2017-10-19T12:52:00Z,"NA"
17_18,6255A,3DD.0077586213,6255,11W,111,16.5,fish,LLRTP,batch_1,2017-10-10T21:28:51Z,2017-10-13T01:00:00Z,Release Time Estimated
17_18,6270A,3DD.007759566E,6270,11W,113,18.5,fish,LLRTP,batch_1,2017-10-30T20:29:00Z,2017-11-03T12:30:00Z,Release Time Estimated
17_18,6285A,3DD.007759C0A4,6285,11W,"NA","NA",fish,LLRTP,batch_1,2017-10-16T18:43:00Z,2017-10-19T13:11:00Z,"NA"
17_18,6300A,"NA",6300,11W,"NA","NA",fish,LLRTP,batch_1,2017-10-16T18:59:00Z,2017-10-19T13:00:00Z,Release Time Estimated
17_18,6315A,3DD.0077584600,6315,11W,125,23.7,fish,LLRTP,batch_1,2017-10-10T20:58:40Z,2017-10-13T01:00:00Z,Release Time Estimated
