## population PofZ values from gsi_sim.  These are plug-in values of type indicated by the file name
IndivName	NumLoc	srumapop	srvalpop	wfyankee	mainefsr	srefspop	srpahpop	srlempop	srnfspop
OtsSALM18C_1081	170	0.00101361	0.00868989	0.00000005	0.17284855	0.06337355	0.75396736	0.00010653	0.00000047
OtsSALM18C_1082	170	0.00052265	0.84993563	0.00000038	0.00513708	0.04254168	0.03503278	0.00022365	0.06660615
OtsSALM18C_1083	170	0.01102240	0.61046397	0.00000220	0.12735775	0.19084901	0.00027750	0.02911246	0.03091472
OtsSALM18C_1084	169	0.05441443	0.17782023	0.00002696	0.00852155	0.25426527	0.01189014	0.49303144	0.00002997
OtsSALM18C_1085	170	0.00309902	0.00068529	0.00000226	0.04226830	0.95380243	0.00014212	0.00000025	0.00000032
OtsSALM18C_1086	170	0.00054706	0.00043153	0.00000144	0.00378136	0.00037147	0.99486677	0.00000030	0.00000006
OtsSALM18C_1087	169	0.00094592	0.01034265	0.00000387	0.00873920	0.97936080	0.00041084	0.00010911	0.00008761
OtsSALM18C_1088	168	0.04092231	0.87255479	0.00003534	0.01853327	0.05861439	0.00928721	0.00000198	0.00005071
OtsSALM18C_1089	168	0.62681505	0.03063151	0.00338533	0.02483245	0.20655136	0.10772477	0.00005666	0.00000287
OtsSALM18C_1090	168	0.00968337	0.00009947	0.00000008	0.05906676	0.00506391	0.92607461	0.00001132	0.00000049
OtsSALM18C_1091	170	0.64436115	0.01043930	0.00263407	0.01206730	0.00052077	0.32972528	0.00000569	0.00024643
OtsSALM18C_1092	170	0.50364557	0.22578600	0.00489540	0.02165555	0.24179353	0.00041982	0.00000026	0.00180387
OtsSALM18C_1093	167	0.97119065	0.00022314	0.00190273	0.00431047	0.01425341	0.00777967	0.00000067	0.00033925
OtsSALM18C_1094	170	0.79617483	0.01204671	0.00000037	0.14318611	0.04369469	0.00458877	0.00000205	0.00030648
OtsSALM18C_1095	169	0.11881432	0.04398403	0.00004186	0.06212590	0.00639453	0.61500975	0.15362934	0.00000027
OtsSALM18C_1096	169	0.54217608	0.03730023	0.00014596	0.36457859	0.00338293	0.05237702	0.00003615	0.00000304
OtsSALM18C_1097	169	0.00231686	0.00153014	0.00000770	0.00108591	0.98434871	0.00955251	0.00000163	0.00115655
OtsSALM18C_1098	170	0.08880680	0.03734335	0.00000146	0.00341104	0.83045059	0.03948627	0.00021279	0.00028770
OtsSALM18C_1099	170	0.23037213	0.00339347	0.00142016	0.04457762	0.70177439	0.01631700	0.00191318	0.00023205
OtsSALM18C_1100	170	0.00861438	0.00201313	0.00000057	0.00039416	0.00207006	0.00357494	0.98329112	0.00004164
OtsSALM18C_1101	167	0.57672876	0.00588469	0.00085598	0.08661464	0.29200656	0.01749670	0.01054152	0.00987116
OtsSALM18C_1102	170	0.24571901	0.00034566	0.00108852	0.07359506	0.46170810	0.21726325	0.00011961	0.00016079
OtsSALM18C_1103	170	0.76328339	0.06728374	0.00001901	0.14730950	0.00929108	0.01280880	0.00000205	0.00000244
OtsSALM18C_1104	169	0.09612419	0.04528013	0.00027350	0.27416482	0.02254576	0.56134732	0.00013620	0.00012808
OtsSALM18C_1105	168	0.60240681	0.01575825	0.00068055	0.07766401	0.00841974	0.29487602	0.00007669	0.00011794
OtsSALM18C_1106	169	0.04704478	0.00311535	0.00004541	0.01993532	0.92628063	0.00344577	0.00001348	0.00011925
OtsSALM18C_1107	169	0.61639256	0.01093508	0.00069679	0.00303749	0.34942391	0.01931429	0.00005699	0.00014290
OtsSALM18C_1108	170	0.00492136	0.00043026	0.00000001	0.01859325	0.67574045	0.30013021	0.00018215	0.00000232
OtsSALM18C_1109	169	0.10559065	0.02572166	0.00192487	0.00210192	0.14440003	0.66388756	0.05511283	0.00126048
OtsSALM18C_1110	166	0.00051988	0.03382339	0.00000010	0.00164994	0.02416046	0.93924010	0.00001810	0.00058803
OtsSALM18C_1111	169	0.06566411	0.00080540	0.00001119	0.61491973	0.22442845	0.09415330	0.00000277	0.00001504
OtsSALM18C_1112	166	0.32121970	0.01766264	0.00000301	0.22180050	0.21453243	0.17451336	0.05026831	0.00000005
OtsSALM18C_1113	169	0.17042728	0.04686583	0.00000085	0.38945629	0.38967935	0.00071856	0.00060586	0.00224598
OtsSALM18C_1114	170	0.35104557	0.00862899	0.00000188	0.04966744	0.59009968	0.00045322	0.00000031	0.00010291
OtsSALM18C_1115	169	0.00014947	0.00231277	0.00000000	0.02451638	0.02292857	0.95008802	0.00000150	0.00000328
OtsSALM18C_1116	170	0.00305698	0.00011101	0.00000004	0.00005555	0.00252844	0.10962992	0.01260735	0.87201070
OtsSALM18C_1117	169	0.01544243	0.00022864	0.00001471	0.00024034	0.06447962	0.79655473	0.00357888	0.11946064
OtsSALM18C_1118	168	0.23263623	0.16372387	0.00000015	0.12573861	0.31889324	0.14891164	0.00279567	0.00730060
OtsSALM18C_1119	169	0.93364378	0.00401222	0.00229136	0.01947261	0.00379709	0.00648865	0.00923437	0.02105991
OtsSALM18C_1120	170	0.62052031	0.20556941	0.00003354	0.05327314	0.11032723	0.00861071	0.00023307	0.00143258
OtsSALM18C_1121	170	0.04219314	0.04349375	0.26538319	0.00134540	0.00333139	0.64399907	0.00023854	0.00001552
OtsSALM18C_1122	168	0.07061962	0.00924372	0.00012770	0.02352382	0.89459190	0.00186601	0.00002651	0.00000071
OtsSALM18C_1123	169	0.18019514	0.03643174	0.00000099	0.00020245	0.00156277	0.51642919	0.26483912	0.00033860
OtsSALM18C_1124	170	0.01772271	0.00482546	0.00000187	0.00061131	0.91898459	0.05211434	0.00573347	0.00000624
OtsSALM18C_1125	169	0.55842355	0.06015998	0.00013602	0.11800599	0.07620454	0.17939008	0.00356725	0.00411258
OtsSALM18C_1126	170	0.96102051	0.00191927	0.00000072	0.00097989	0.01915127	0.01690854	0.00000048	0.00001933
OtsSALM18C_1127	170	0.23443171	0.03623298	0.00001004	0.02743415	0.32143940	0.38031479	0.00002730	0.00010963
OtsSALM18C_1128	170	0.00001262	0.00000569	0.00000044	0.00011807	0.00060249	0.99922703	0.00002295	0.00001070
OtsSALM18C_1129	170	0.41270396	0.01195473	0.00000008	0.00177851	0.52285749	0.04813723	0.00240612	0.00016187
OtsSALM18C_1130	165	0.22065887	0.23095962	0.00001646	0.00201109	0.53256074	0.00033820	0.01018145	0.00327356
OtsSALM18C_1131	169	0.17695563	0.58657167	0.00000193	0.19185606	0.04044298	0.00231337	0.00000145	0.00185691
OtsSALM18C_1132	170	0.15825282	0.18690258	0.00022492	0.06204065	0.48290171	0.10852812	0.00001096	0.00113824
OtsSALM18C_1133	170	0.13636692	0.78354378	0.00015437	0.02111381	0.05574774	0.00296195	0.00000092	0.00011053
OtsSALM18C_1134	167	0.00009370	0.00006659	0.00000000	0.00002400	0.00933154	0.99048409	0.00000005	0.00000004
OtsSALM18C_1135	170	0.24862402	0.32452595	0.00000001	0.00553287	0.42118146	0.00013075	0.00000494	0.00000001
OtsSALM18C_1136	169	0.94619052	0.00125940	0.00000036	0.00143622	0.03645916	0.01465270	0.00000008	0.00000156
OtsSALM18C_1137	170	0.10394877	0.00181963	0.64276631	0.00012481	0.13653306	0.11472174	0.00003140	0.00005430
OtsSALM18C_1138	170	0.87762229	0.01504905	0.00296764	0.06758403	0.00660425	0.02622672	0.00394574	0.00000027
OtsSALM18C_1139	169	0.00491895	0.02452486	0.00000000	0.00480799	0.93865794	0.02671046	0.00024751	0.00013228
OtsSALM18C_1140	170	0.00095237	0.00012448	0.00002676	0.37486923	0.01908928	0.60493385	0.00000006	0.00000396
OtsSALM18C_1141	169	0.16437641	0.68744602	0.00219272	0.05289297	0.07523983	0.00752162	0.00992289	0.00040754
OtsSALM18C_1142	170	0.00619374	0.00520981	0.00000004	0.97220936	0.00263386	0.01373853	0.00001431	0.00000035
OtsSALM18C_1143	168	0.02252571	0.19126469	0.00000020	0.00895955	0.32373171	0.05457534	0.39316125	0.00578155
OtsSALM18C_1144	170	0.78498110	0.01399110	0.00030570	0.10474882	0.03945123	0.04926105	0.00111629	0.00614471
OtsSALM18C_1145	170	0.07231107	0.00307215	0.00000034	0.05061779	0.84474323	0.02917627	0.00001918	0.00005997
OtsSALM18C_1146	169	0.22931061	0.00989752	0.00000098	0.13073819	0.61572861	0.01424416	0.00000589	0.00007405
OtsSALM18C_1147	170	0.00360286	0.00181970	0.00000268	0.00612434	0.98308743	0.00000007	0.00198340	0.00337952
