MRR Site Info Code,MRR Site Info Name,MRR Site Info RKM Mask,MRR Site Type Name,MRR Site Subbasin Code,MRR Site Subbasin Name,MRR Site Latitude Value,MRR Site Longitude Value,New metric
15MILC,"Fifteen Mile Creek, near The Dalles, Oregon",309,River,17070105,Middle Columbia-Hood,45.48169,'-121.075606,1
1890SC,1890s Side Channel Methow River,843.067,River,17020008,Methow,48.37819,'-120.133113,1
18MILC,"Eighteenmile Creek, Lemhi River Basin",522.303.416.092,River,17060204,Lemhi,44.525585,'-113.236851,1
21MILC,Twentyone Mile Creek - tributary to Sanpoil River,981.065,River,17020004,Sanpoil,48.398339,'-118.655755,1
30MILC,Thirtymile Creek - tributary to Sanpoil River,981.045,River,17020004,Sanpoil,48.296864,'-118.641766,1
30ML2C,Thirtymile Creek - tributary to John Day River,351.134,River,17070204,Lower John Day,45.168008,'-120.182924,1
3LINKC,Three Links Creek,522.224.120.037.051,River,17060302,Lower Selway,46.174775,'-115.107476,1
3MILC,Threemile Creek - Upper Columbia,1025,River,17020001,Franklin D. Roosevelt Lake,47.937973,'-118.371937,1
3MILIS,Three Mile Canyon Island (Col. R. below Blalock Island),412,Avian Colony,17070101,Middle Columbia-Lake Wallula,45.816443,'-119.965329,1
4JUL2C,Fourth Of July Creek - tributary to Salmon River,522.303.385,River,17060203,Middle Salmon-Panther,45.409846,'-113.860050,1
4JULYC,Fourth of July Creek,522.303.630,River,17060201,Upper Salmon,44.049345,'-114.726051,1
9MILEC,Ninemile Creek (tributary to Okanogan River),858.134,River,17020006,Okanogan,48.978711,'-119.354422,1
ABEH,Abernathy SCTC,87.005,Hatchery,17080003,Lower Columbia-Clatskanie,46.22634,'-123.148890,1
ABERC,"Abernathy Creek, Lower Columbia River, Washington",87,River,17080003,Lower Columbia-Clatskanie,46.25605,'-123.170456,1
AENEAC,Aeneas Creek - tributary to Okanogan River,858.086,River,17020006,Okanogan,48.675696,'-119.548673,1
AGNCYC,"Agency Creek, Lemhi River Basin",522.303.416.039,River,17060204,Lemhi,44.957612,'-113.544909,1
AHSH,Astoria High School Hatchery,*,Hatchery,17080006,Lower Columbia,46.17622,'-123.848480,1
AHTANC,"Ahtanum Creek, Yakima River",539.172,River,17030003,Lower Yakima,46.535107,'-120.639069,1
AHTANF,North Fork Ahtanum Creek - Tributary to Ahtanum Creek,539.172.037,River,17030003,Lower Yakima,46.517683,'-121.016108,1
AHTASF,"South Fork Ahtanum Creek, tributary to Ahtanum Creek",539.172.037,River,17030003,Lower Yakima,46.484139,'-120.987252,1
ALEXC,"Alex Creek, Secesh River",522.303.215.059.033,River,17060208,South Fork Salmon,45.196945,'-115.784592,1
ALMOTC,Almota Creek - tributary to Snake River,522.164,River,17060107,Lower Snake-Tucannon,46.701606,'-117.359348,1
ALPOWC,"Alpowa Creek, lower Snake River",522.205,River,17060107,Lower Snake-Tucannon,46.402354,'-117.398266,1
ALTULC,Alturas Lake Creek,522.303.633,River,17060201,Upper Salmon,43.911353,'-114.861683,1
ALTURL,Alturas Lake,522.303.633.011,Other,17060201,Upper Salmon,43.913708,'-114.861008,1
AMERIR,American River- Naches Subbasin,539.187.072.006,River,17030002,Naches,46.931486,'-121.357249,1
AMERR,American River,522.224.120.101,River,17060305,South Fork Clearwater,45.873716,'-115.441464,1
ANTELC,Antelope Creek - tributary to Trout Creek (TROU2C) in the Deschutes River basin,328.140.021,River,17070307,Trout,44.878393,'-120.778649,1
ANTOIC,Antoine Creek (tributary to Okanogan River),858.099,River,17020006,Okanogan,48.815507,'-119.285285,1
APROOK,Appleyard Rookery,746,Avian Colony,17020010,Upper Columbia-Entiat,47.389293,'-120.284408,1
ASOTIC,"Asotin Creek, Snake River above Clarkston, WA",522.234,River,17060103,Lower Snake-Asotin,46.330643,'-117.181953,1
ASOTNF,North Fork Asotin Creek,522.234.024,River,17060103,Lower Snake-Asotin,46.202463,'-117.416663,1
ASOTSF,South Fork Asotin Creek,522.234.024,River,17060103,Lower Snake-Asotin,46.188887,'-117.326142,1
BAD,Barrier Dam,111.08,Dam,17080005,Lower Cowlitz,46.512509,'-122.633231,1
BADGEI,"Badger Island, Columbia River",512,Avian Colony,17070101,Middle Columbia-Lake Wallula,46.109392,'-118.937853,1
BAKEOC,"Bakeoven Creek, Deschutes River Basin",328.083,River,17070306,Lower Deschutes,45.1277,'-120.936481,1
BANKSL,"Banks Lake, Grant County, Washington",___,Other,17020014,Banks Lake,47.805857,'-119.191883,1
BARGAC,Bargamin Creek,522.303.255,River,17060207,Middle Salmon-Chamberlain,45.689197,'-115.063405,1
BARNAC,Barnaby Creek - tributary to Columbia River,1101,River,17020001,Franklin D. Roosevelt Lake,48.484617,'-118.297339,1
BASINC,"Basin Creek, Lemhi River Basin",522.303.416.049.006,River,17060204,Lemhi,44.841091,'-113.759454,1
BASN2C,"Basin Creek, upper Lemhi River Basin",522.303.416.089.012,River,17060204,Lemhi,44.590262,'-113.427910,1
BASN3C,"Basin Creek, Salmon River Basin",522.303.604,River,17060201,Upper Salmon,44.316148,'-114.883352,1
BBC,Big Beef Creek,*,Hatchery,17110018,Hood Canal,47.652262,'-122.783535,1
BBCTRP,Big Bear Creek Rotary Screw Trap,522.224.024.023.001,Trap or Weir,17060306,Clearwater,46.620203,'-116.647563,1
BCANF,Big Canyon Facility,522.271.131.018.001,Acclimation Pond,17060105,Wallowa,45.61904,'-117.698633,1
BCCAP,Big Canyon Creek Acclimation Facility (Clearwater River),522.224.057,Acclimation Pond,17060306,Clearwater,46.49829,'-116.438290,1
BCHINL,Lake Billy Chinook,328.177,Other,17070301,Upper Deschutes,44.583737,'-121.321127,1
BCKHRC,"Buckhorn Creek, SF Salmon River",522.303.215.072,River,17060208,South Fork Salmon,44.897024,'-115.814575,1
BCKROC,"Buckaroo Creek, Umatilla River",465.117,River,17070103,Umatilla,45.646549,'-118.495408,1
BCL,Big Cliff Dam - North Santiam River,163.174.019.073,Dam,17090005,North Santiam,44.750718,'-122.283104,1
BCLFBY,BCL - Release into the Forebay within 0.5 km upstream of Dam,163.174.019.073,Intra-Dam Release Site,17090005,North Santiam,44.750718,'-122.283104,1
BCLTAL,BCL - Release into the Tailrace within 0.5 km downstream of Dam,163.174.019.073,Intra-Dam Release Site,17090005,North Santiam,44.750718,'-122.283104,1
BCTRAP,"Lake Washington, Bear Creek Trap",***,Trap or Weir,17110012,Lake Washington,47.669501,'-122.110204,1
BEAR2C,"Bear Creek, John Day River Basin",351.218.009,River,17070204,Lower John Day,44.581806,'-120.381560,1
BEAR3C,"Bear Creek, Columbia River Estuary, Oregon",33,River,17080006,Lower Columbia,46.127546,'-123.638111,1
BEAR4C,"Bear Creek, SF Salmon River",522.303.215.120,River,17060208,South Fork Salmon,44.619737,'-115.644288,1
