site_name,site_code,site_type,rt_site_type,point_y,point_x,use17_18,use18_19,use19_20,ptagis_rkm,rt_rkm
Upper Lemhi RST,LEMTRP,rst,NA,44.869203,-113.625139,FALSE,FALSE,TRUE,522.303.416.049,
Hayden RST,HYDTRP,rst,NA,44.861395,-113.632059,FALSE,FALSE,TRUE,522.303.416.049.001,
Lower Lemhi RST,LLRTP,rst,NA,45.1595,-113.8331,TRUE,TRUE,TRUE,522.303.416.007,
Pahsimeroi RST,PAHTRP,rst,NA,44.684526,-114.040473,FALSE,TRUE,FALSE,522.303.489.002,
Below Confluence,BC,rt_fixed,pod,44.88264,-113.62936,FALSE,FALSE,TRUE,NA,
Top Channelized,TC,rt_fixed,pod,44.9831,-113.647095,FALSE,FALSE,TRUE,NA,
End Channelized,EC,rt_fixed,pod,45.01691,-113.65719,FALSE,FALSE,TRUE,NA,
Snook Spot,SS,rt_fixed,pod,45.04245,-113.6767,FALSE,FALSE,TRUE,NA,
Eagle Valley Ranch Upper,EU,rt_fixed,pod,45.100087,-113.726042,FALSE,FALSE,TRUE,NA,
Eagle Valley Ranch Lower,EL,rt_fixed,pod,45.11501,-113.77392,FALSE,FALSE,TRUE,NA,
Eagle Valley Ranch Stripback,ES,rt_fixed,pod,45.11501,-113.77392,FALSE,FALSE,TRUE,NA,
Lane Field,LF,rt_fixed,pod,45.15777,-113.82239,FALSE,FALSE,TRUE,NA,
Diversion,DD,rt_fixed,trailer,45.16014,-113.83905,FALSE,FALSE,TRUE,NA,
Deer Gulch,DG,rt_fixed,pod,44.70072,-114.04404,FALSE,TRUE,FALSE,NA,
Kilpatrick,KP,rt_fixed,pod,44.90962,-113.96426,FALSE,TRUE,FALSE,NA,
Cement Plant,DC,rt_fixed,pod,45.17101,-113.91035,TRUE,TRUE,TRUE,NA,
Lemhi Hole,LH,rt_fixed,pod,45.18638,-113.89131,TRUE,TRUE,TRUE,NA,
Carmen Creek,CA,rt_fixed,pod,45.231564,-113.894692,FALSE,TRUE,FALSE,NA,
Morgan Bar,MB,rt_fixed,pod,45.25307,-113.90602,TRUE,FALSE,TRUE,NA,
Tower Rock,TR,rt_fixed,pod,45.31094,-113.90646,TRUE,TRUE,TRUE,NA,
Red Rock,RR,rt_fixed,pod,45.34618,-113.92242,TRUE,TRUE,FALSE,NA,
Bobcat Gulch,BG,rt_fixed,pod,45.36096,-113.96332,TRUE,FALSE,FALSE,NA,
North Fork,NF,rt_fixed,trailer,45.39552,-113.97883,TRUE,TRUE,TRUE,NA,
Below Deadwater,DW,rt_fixed,pod,45.37977,-114.07088,TRUE,TRUE,TRUE,NA,
Salmon River Ranch,LR,rt_fixed,trailer,45.40380,-114.21582,TRUE,TRUE,TRUE,NA,
Colson Creek,SR,rt_fixed,trailer,45.30064,-114.53441,TRUE,TRUE,TRUE,NA,
Corn Creek,CC,rt_fixed,trailer,45.36977,-114.68715,TRUE,TRUE,TRUE,NA,
Yellowpine Bar,YP,rt_fixed,pod,45.54372,-115.24997,FALSE,TRUE,TRUE,NA,
Vinegar Creek,VC,rt_fixed,trailer,45.45955,-115.89275,TRUE,TRUE,FALSE,NA,
Shorts Bar,SB,rt_fixed,pod,45.41343,-116.30272,TRUE,TRUE,FALSE,NA,
Twin Bridges,TB,rt_fixed,pod,45.66049,-116.29227,TRUE,TRUE,FALSE,NA,
Lower Lemhi River,LLR,pit_array,NA,45.176475,-113.885278,TRUE,TRUE,TRUE,522.303.416.001,
Eagle Valley Ranch - Lower,EVL,pit_array,NA,45.115074,-113.774021,FALSE,FALSE,TRUE,522.303.416.016,
Eagle Valley Ranch S3A,S3A,pit_array,NA,45.11317,-113.7556,FALSE,FALSE,TRUE,522.303.416.016,
Eagle Valley Ranch S3B,S3B,pit_array,NA,45.11277,-113.74987,FALSE,FALSE,TRUE,522.303.416.017,
Bohannon Creek Lemhi R Basin,BHC,pit_array,NA,45.112189,-113.746897,TRUE,TRUE,TRUE,522.303.416.017.001,
Lemhi Sub-reach 2 SC Outlet,S2O,pit_array,NA,45.111257,-113.746418,TRUE,TRUE,TRUE,522.303.416.018,
Lemhi Sub-reach 2 SC Inlet,S2I,pit_array,NA,45.109457,-113.742696,TRUE,TRUE,TRUE,522.303.416.017,
Eagle Valley Ranch - Upper,EVU,pit_array,NA,45.100087,-113.726042,FALSE,FALSE,TRUE,522.303.416.020,
"Wimpey Creek, Lemhi R. Basin",WPC,pit_array,NA,45.097938,-113.720497,TRUE,FALSE,FALSE,522.303.416.020.001,
Kenney Creek In-stream Arrays,KEN,pit_array,NA,45.026792,-113.654847,TRUE,TRUE,TRUE,522.303.416.029.000,
"Agency Creek, Lemhi R. Basin",AGC,pit_array,NA,44.956739,-113.639543,FALSE,FALSE,FALSE,522.303.416.039.001,
Lemhi River Weir,LRW,pit_array,NA,44.86596003,-113.624721,TRUE,TRUE,TRUE,522.303.416.050,
Hayden Creek In-stream Array,HYC,pit_array,NA,44.861654,-113.631937,TRUE,TRUE,TRUE,522.303.416.049.001,
Upper Salmon River at rkm 437,USE,pit_array,NA,45.02853,-113.916319,TRUE,TRUE,TRUE,522.303.437,
Upper Salmon River at rkm 460,USI,pit_array,NA,44.889763,-113.964145,TRUE,TRUE,TRUE,522.303.460,
