"Tag Code","Mark Rear Type Name","Event Type Name","Event Site Code Value","Event Date Time Value","Event Release Date Time Value","Antenna ID","Antenna Group Configuration Value","CTH Count"
"3DD.007756948D","Wild Fish or Natural Production","Mark","LEMHIR","10/11/2017 7:08:00 AM","10/11/2017 11:15:00 AM","NA","0","1"
"3DD.007757FFD7","Wild Fish or Natural Production","Mark","LEMHIR","11/2/2017 6:00:00 AM","11/3/2017 5:00:00 AM","NA","0","1"
"3DD.00775807F4","Wild Fish or Natural Production","Mark","LEMHIR","11/2/2017 6:00:00 AM","11/3/2017 5:00:00 AM","NA","0","1"
"3DD.00775807F4","Wild Fish or Natural Production","Observation","LLR","12/23/2017 6:42:48 PM","","06","120","1"
"3DD.007758092C","Wild Fish or Natural Production","Mark","LEMHIR","10/11/2017 7:08:00 AM","10/11/2017 11:15:00 AM","NA","0","1"
"3DD.0077581F63","Wild Fish or Natural Production","Mark","LEMHIR","10/11/2017 7:08:00 AM","10/11/2017 11:15:00 AM","NA","0","1"
"3DD.0077581F63","Wild Fish or Natural Production","Observation","LLR","10/31/2017 2:14:07 PM","","04","120","1"
"3DD.00775820E9","Wild Fish or Natural Production","Mark","LEMHIR","10/11/2017 7:08:00 AM","10/11/2017 11:15:00 AM","NA","0","1"
"3DD.0077583987","Wild Fish or Natural Production","Mark","LEMHIR","10/11/2017 7:08:00 AM","10/11/2017 11:15:00 AM","NA","0","1"
"3DD.0077583E40","Wild Fish or Natural Production","Mark","LEMHIR","10/11/2017 7:08:00 AM","10/11/2017 11:15:00 AM","NA","0","1"
"3DD.0077583E62","Wild Fish or Natural Production","Mark","LEMHIR","10/17/2017 12:15:00 PM","10/17/2017 2:33:00 PM","NA","0","1"
"3DD.0077584600","Wild Fish or Natural Production","Mark","LEMHIR","10/11/2017 7:08:00 AM","10/11/2017 11:15:00 AM","NA","0","1"
"3DD.0077584725","Wild Fish or Natural Production","Mark","LEMHIR","11/2/2017 6:00:00 AM","11/3/2017 5:00:00 AM","NA","0","1"
"3DD.0077585571","Wild Fish or Natural Production","Mark","LEMHIR","10/17/2017 12:15:00 PM","10/17/2017 2:33:00 PM","NA","0","1"
"3DD.0077586213","Wild Fish or Natural Production","Mark","LEMHIR","10/11/2017 7:08:00 AM","10/11/2017 11:15:00 AM","NA","0","1"
"3DD.0077587457","Wild Fish or Natural Production","Mark","LEMHIR","10/11/2017 7:08:00 AM","10/11/2017 11:15:00 AM","NA","0","1"
"3DD.00775887BC","Wild Fish or Natural Production","Mark","LEMHIR","11/2/2017 6:00:00 AM","11/3/2017 5:00:00 AM","NA","0","1"
"3DD.0077588A34","Wild Fish or Natural Production","Mark","LEMHIR","11/2/2017 6:00:00 AM","11/3/2017 5:00:00 AM","NA","0","1"
